name,slug,operator,address,zip,city,state,country,countryName,region,Laser,Dome,70mm,_geoloc.lat,_geoloc.lng
Hoyts Blacktown & IMAX,hoyts-blacktown-and-imax,,Patrick Street,2148,Blacktown,New South Wales,AU,Australia,APAC,TRUE,FALSE,FALSE,-33.77018,150.90640
Event Cinemas Pacific Fair Mall & IMAX,event-cinemas-pacific-fair-mall-and-imax,,"Pacific Fair Shopping Mall, Level 1, Hooker Blvd.",4218,Broadbeach,,AU,Australia,APAC,TRUE,FALSE,FALSE,-28.03690,153.42820
Dendy Canberra & IMAX,dendy-canberra-and-imax,,"Dendy Canberra, Level 2, North Quarter, Canberra Centre, 148 Bunda Street",2600,Canberra,,AU,Australia,APAC,TRUE,FALSE,FALSE,-35.27800,149.13280
Hoyts Carousel & IMAX,hoyts-carousel-and-imax,,1382 Albany Hwy,6107,Cannington,Western Australia,AU,Australia,APAC,TRUE,FALSE,FALSE,-32.01940,115.93850
Hoyts Chadstone & IMAX,hoyts-chadstone-and-imax,,"Level 2, 1341 Dandenong Rd  ",3148,Chadstone,Victoria,AU,Australia,APAC,TRUE,FALSE,FALSE,-37.88730,145.08370
Event Cinemas Innaloo & IMAX,event-cinemas-innaloo-and-imax,,57 Liege Street,6018,Innaloo,,AU,Australia,APAC,TRUE,FALSE,FALSE,-31.90470,115.79790
"Village Cinemas, Fountain Gate IMAX",village-cinemas-fountain-gate-imax,,"55 Overland Dr, Narre Warren",3805,Melbourne,Victoria,AU,Australia,APAC,TRUE,FALSE,FALSE,-38.01930,145.30570
"IMAX, Melbourne Museum",imax-melbourne-museum,,11 Nicholson Street,3053,Melbourne,,AU,Australia,APAC,TRUE,FALSE,TRUE,-37.80379,144.97054
Hoyts Melbourne Central & IMAX,hoyts-melbourne-central-and-imax,,"Level 3, Corner Swanstone & Latrobe St.",3000,Melbourne,,AU,Australia,APAC,TRUE,FALSE,FALSE,-37.80980,144.96370
IMAX Sydney,lg-imax-darling-harbour,,1/35 Wheat Road,2000,Sydney,,AU,Australia,APAC,FALSE,FALSE,FALSE,-33.87270,151.20230
Anqing InJoy Bestar & IMAX,anqing-injoy-bestar-imax,,"4F, InJoy Plaza, Cross of Longmianshan Road and Wanjiang Avenue, Yingjiang District",246000,Anqing,,CN,China,APAC,FALSE,FALSE,FALSE,30.52164,117.08454
Anshan Wanda & IMAX,anshan-wanda-imax,,"3F, Wanda Plaza, 278A Middle Qianshan Road, Lishan District",114031,Anshan,,CN,China,APAC,FALSE,FALSE,FALSE,41.10338,123.04245
Anyang Wanda & IMAX,anyang-wanda-imax,,"4F, Zhonghua Rd. Wenming Ave., Wenfeng District",455000,Anyang,,CN,China,APAC,FALSE,FALSE,FALSE,36.09219,114.39870
Baoding Wanbo Plaza Wanda & IMAX,baoding-wanbo-plaza-wanda-and-imax,,"Wanda Cinema, 5th Floor, Wanbo Plaza, No. 99 Chaoyang North Street, Jingxiu District",71000,Baoding,Hebei,CN,China,APAC,TRUE,FALSE,FALSE,38.87664,115.46958
Baoji Fuhui Jinyi & IMAX,baoji-fuhui-jinyi-imax,,"3F, No.10 Daqing Road, Jintai District",721000,Baoji,,CN,China,APAC,FALSE,FALSE,FALSE,34.36400,107.22800
Baotou Jinyuan Wanda & IMAX,baotou-jinyuan-wanda-imax,,"4F-A, Entertainment Building, Wanda Plaza, West of 210 National Rd, North of West Shahe Street",14030,Baotou,,CN,China,APAC,FALSE,FALSE,FALSE,40.61224,109.95881
Baotou Qingshan Wanda & IMAX,baotou-qingshan-wanda-imax,,"4F, No.26, Qingnian Road, Wanda Plaza, Qingshan District",14030,Baotou,,CN,China,APAC,TRUE,FALSE,FALSE,40.65495,109.85880
Baotou Victory City Mall Wanda & IMAX,baotou-victory-city-mall-wanda-imax,,"4F, Wanda Plaza, Victory City Mall, No. 18 Bayantala Street, Donghe District ",14000,"Baotou, Inner Mongolia",,CN,China,APAC,FALSE,FALSE,FALSE,40.57880,110.02450
Beijing Beiyuan Longfor Paradise Walk Bona & IMAX,beijing-beiyuan-longfor-paradise-walk-bona-and-imax,,"5F, Beijing Beiyuan Tianjie, No. 19 Beiyuan East Road, Chaoyang District",100012,Beijing,,CN,China,APAC,TRUE,FALSE,FALSE,40.03490,116.44130
Beijing CBD Wanda & IMAX,beijing-cbd-wanda-imax,,"3F, No.93, Jianguo Road, Wanda Plaza, Chaoyang District",100022,Beijing,,CN,China,APAC,TRUE,FALSE,FALSE,39.90932,116.47152
Beijing Changping Hopson Hoyts & IMAX,beijing-changping-hopson-hoyts-and-imax,,"No. 34, B2/F, Hopson, No.1 Beiqing Road, Changping District",102206,Beijing,,CN,China,APAC,TRUE,FALSE,FALSE,40.09640,116.29100
Beijing Dongba Wanda & IMAX,beijing-dongba-wanda-and-imax,,"5F, Wanda Plaza, No. 25 Dongba Middle Road, Chaoyang District",100015,Beijing,,CN,China,APAC,TRUE,FALSE,FALSE,39.90930,116.47100
Beijing Emperor Center & IMAX,beijing-emperor-center-imax,,"B1, Emperor Center, No. 12 Jianwai Street, Chaoyang District",100020,Beijing,,CN,China,APAC,TRUE,FALSE,FALSE,39.91392,116.45108
Beijing Fangshan Longfar Paradise Walk Womei & IMAX,beijing-fangshan-longfar-paradise-walk-womei-imax,,"5F, Longfar Paradise Walk, Changyu Avenue, Fangshan District",102401,Beijing,,CN,China,APAC,FALSE,FALSE,FALSE,39.73110,116.17080
Beijing Fangshan Wanda & IMAX,beijing-fangshan-wanda-imax,,"4F, Capital Outlets Phase 2, Changyang County, Fangshan District",102400,Beijing,,CN,China,APAC,TRUE,FALSE,FALSE,39.76289,116.19006
Beijing Fangyuanli ID Mall Bona & IMAX,beijing-fangyuanli-id-mall-bona-imax,,"5F, Fangyuanli ID Mall, No.189 East 4th Ring Middle Road, Chaoyang District",100124,Beijing,,CN,China,APAC,TRUE,FALSE,FALSE,39.88870,116.48720
Beijing Hexie Hengye & IMAX,beijing-hexie-hengye-imax,,Intersection of Northeast Wanfeng Road and Jingshi Highway,100000,Beijing,,CN,China,APAC,FALSE,FALSE,FALSE,39.88779,116.30458
Beijing Huaifang Wanda & IMAX,beijing-huaifang-wanda-imax,,"4F, Wanda Plaza, No.6 South Huaifang Road, Fengtai District",100000,Beijing,,CN,China,APAC,FALSE,FALSE,FALSE,39.81976,116.37480
